AMD,Advanced Micro Devices Inc,2022-05-03,2022-03-31,0.91,USD
AME,Ametek Inc,2022-05-03,2022-03-31,1.27,USD
AMED,Amedisys Inc,2022-04-27,2022-03-31,1.12,USD
AMEH,Apollo Medical Holdings Inc,2022-05-03,2022-03-31,0.32,USD
AMG,Affiliated Managers Group Inc,2022-05-02,2022-03-31,4.34,USD
AMGN,AMGEN Inc,2022-04-27,2022-03-31,4.16,USD
AMH,American Homes 4 Rent - Class A,2022-05-05,2022-03-31,0.12,USD
AMIVF,AMIVF,2022-05-10,2022-03-31,,USD
AMK,Assetmark Financial Holdings Inc,2022-04-28,2022-03-31,0.38,USD
AMKR,AMKOR Technology Inc,2022-05-02,2022-03-31,,USD
AMN,AMN Healthcare Services Inc,2022-05-05,2022-03-31,3.2,USD
AMNB,American National Bankshares Inc,2022-04-20,2022-03-31,0.74,USD
AMNF,AMNF,2022-04-21,2022-03-31,,USD
AMOT,Allied Motion Technologies Inc,2022-05-03,2022-03-31,0.12,USD
AMP,Ameriprise Financial Inc,2022-04-25,2022-03-31,5.87,USD
AMPE,Ampio Pharmaceuticals Inc,2022-05-03,2022-03-31,-0.02,USD
AMPH,Amphastar Pharmaceuticals Inc,2022-05-04,2022-03-31,0.36,USD
AMPY,Amplify Energy Corp,2022-05-03,2022-03-31,,USD
AMR,Alpha Metallurgical Resources Inc,2022-05-10,2022-03-31,19.04,USD
AMRB,AMRB,2022-04-18,2022-03-31,,USD
AMRC,Ameresco Inc - Class A,2022-05-02,2022-03-31,0.28,USD
AMRK,A-Mark Precious Metals Inc,2022-05-10,2022-03-31,1.97,USD
AMRN,Amarin Corp,2022-04-27,2022-03-31,-0.01,USD
AMRS,Amyris Inc,2022-05-04,2022-03-31,-0.3,USD
AMRX,Amneal Pharmaceuticals Inc - Class A,2022-05-04,2022-03-31,0.14,USD
AMS,American Shared Hospital Services,2022-05-11,2022-03-31,,USD
AMSC,American Superconductor Corp,2022-05-31,2022-03-31,-0.16,USD
AMSF,Amerisafe Inc,2022-04-27,2022-03-31,0.66,USD
AMSWA,American Software Inc - Class A,2022-06-06,2022-04-30,0.08,USD
AMT,American Tower Corp,2022-04-27,2022-03-31,1.1,USD
AMTB,Amerant Bancorp Inc - Class A,2022-04-20,2022-03-31,0.42,USD
AMTI,Applied Molecular Transport Inc,2022-05-11,2022-03-31,-0.81,USD
AMTX,Aemetis Inc,2022-05-10,2022-03-31,-0.37,USD
AMWD,American Woodmark Corp,2022-05-25,2022-04-30,1.35,USD
AMWL,American Well Corporation - Class A,2022-05-10,2022-03-31,-0.23,USD
AMZN,Amazon.com Inc,2022-04-28,2022-03-31,8.48,USD
AN,Autonation Inc,2022-04-21,2022-03-31,5.14,USD
ANAB,AnaptysBio Inc,2022-05-02,2022-03-31,-0.94,USD
ANAT,American National Group Inc,2022-05-02,2022-03-31,,USD
ANCTF,ANCTF,2022-06-28,2022-04-30,,USD
ANCUF,ANCUF,2022-06-27,2022-04-30,,USD
ANDE,Andersons Inc,2022-05-03,2022-03-31,0.51,USD
ANDHF,ANDHF,2022-05-04,2022-03-31,,USD
ANET,Arista Networks Inc,2022-05-02,2022-03-31,0.81,USD
ANF,Abercrombie & Fitch Co. - Class A,2022-05-24,2022-04-30,0.06,USD
ANGI,Angi Inc - Class A,2022-05-04,2022-03-31,-0.06,USD
ANGN,Angion Biomedica Corp,2022-05-16,2022-03-31,-0.47,USD
ANGO,Angiodynamic Inc,2022-07-11,2022-05-31,0.02,USD
ANGVF,ANGVF,2022-05-30,2022-04-30,,USD
ANIK,Anika Therapeutics Inc,2022-05-05,2022-03-31,-0.43,USD
ANIP,ANI Pharmaceuticals Inc,2022-05-05,2022-03-31,0.19,USD
ANNX,Annexon Inc,2022-05-16,2022-03-31,-0.99,USD
ANPC,AnPac Bio-Medical Science Co Ltd,2022-04-25,2022-03-31,,CNY
ANSS,Ansys Inc,2022-05-03,2022-03-31,1.14,USD
ANTM,Anthem Inc,2022-04-20,2022-03-31,7.81,USD
AOCIF,AOCIF,2022-05-03,2022-03-31,,USD
AOIFF,AOIFF,2022-05-12,2022-03-31,,USD
AON,Aon plc. - Class A,2022-04-29,2022-03-31,4.8,USD
AORT,Artivion Inc,2022-04-27,2022-03-31,-0.12,USD
AOS,A.O. Smith Corp,2022-04-28,2022-03-31,0.75,USD
AOSL,Alpha & Omega Semiconductor Ltd,2022-05-05,2022-03-31,1.18,USD
AP,Ampco-Pittsburgh Corp,2022-05-05,2022-03-31,,USD
APA,APA Corporation,2022-05-03,2022-03-31,1.64,USD
APAM,Artisan Partners Asset Management Inc - Class A,2022-04-26,2022-03-31,1.05,USD
APD,Air Products & Chemicals Inc,2022-05-05,2022-03-31,2.36,USD
APDN,Applied Dna Sciences Inc,2022-05-11,2022-03-31,-0.33,USD
APEI,American Public Education Inc,2022-05-09,2022-03-31,0.19,USD
APEN,Apollo Endosurgery Inc,2022-05-02,2022-03-31,-0.2,USD
APEUF,APEUF,2022-05-17,2022-03-31,,USD
APG,APi Group Corporation,2022-05-10,2022-03-31,0.2,USD
APH,Amphenol Corp - Class A,2022-04-27,2022-03-31,0.61,USD
API,Agora Inc,2022-05-23,2022-03-31,-0.18,USD
APLE,Apple Hospitality REIT Inc,2022-05-05,2022-03-31,0.06,USD
APLS,Apellis Pharmaceuticals Inc,2022-04-26,2022-03-31,-1.31,USD
APLT,Applied Therapeutics Inc,2022-05-09,2022-03-31,-0.88,USD
APO,Apollo Global Management Inc - Class A (New),2022-05-02,2022-03-31,,USD
APOG,Apogee Enterprises Inc,2022-06-23,2022-05-31,0.56,USD
APP,Applovin Corp - Class A,2022-05-10,2022-03-31,-0.01,USD
APPF,Appfolio Inc - Class A,2022-05-09,2022-03-31,-0.09,USD
APPH,AppHarvest Inc,2022-05-16,2022-03-31,-0.33,USD
APPN,Appian Corp - Class A,2022-05-04,2022-03-31,-0.13,USD
APPS,Digital Turbine Inc,2022-05-30,2022-03-31,0.39,USD
APR,Apria Inc,2022-05-11,2022-03-31,0.33,USD
APRE,Aprea Therapeutics Inc,2022-05-04,2022-03-31,-0.36,USD
APRN,Blue Apron Holdings Inc - Class A,2022-05-09,2022-03-31,-0.63,USD
APT,Alpha Pro Tech Ltd,2022-05-04,2022-03-31,,USD
APTO,Aptose Biosciences Inc,2022-05-02,2022-03-31,-0.15,USD
APTS,Preferred Apartment Communities Inc - Class A,2022-05-09,2022-03-31,-0.54,USD
APTV,Aptiv PLC,2022-05-05,2022-03-31,0.66,USD
APTX,Aptinyx Inc,2022-05-11,2022-03-31,-0.31,USD
APYRF,APYRF,2022-04-27,2022-03-31,,USD
APYX,Apyx Medical Corp,2022-05-12,2022-03-31,-0.15,USD
AQARF,AQARF,2022-05-05,2022-03-31,,USD
AQB,AquaBounty Technologies Inc,2022-05-02,2022-03-31,-0.08,USD
AQMS,Aqua Metals Inc,2022-04-27,2022-03-31,-0.05,USD
AQN,Algonquin Power & Utilities Corp,2022-05-04,2022-03-31,0.21,USD
AQST,Aquestive Therapeutics Inc,2022-05-02,2022-03-31,-0.41,USD
AQSZF,AQSZF,2022-04-21,2022-03-31,,USD
AQUA,Evoqua Water Technologies Corp,2022-05-03,2022-03-31,0.19,USD
AR,Antero Resources Corp,2022-04-27,2022-03-31,1.15,USD
ARAV,Aravive Inc,2022-05-04,2022-03-31,-0.53,USD
ARAY,Accuray Inc,2022-04-27,2022-03-31,-0.04,USD
ARC,ARC Document Solutions Inc,2022-05-04,2022-03-31,0.06,USD
ARCB,ArcBest Corp,2022-04-29,2022-03-31,2.15,USD
ARCC,Ares Capital Corp,2022-04-26,2022-03-31,0.46,USD
ARCE,Arco Platform Ltd - Class A,2022-05-23,2022-03-31,0.14,BRL
ARCH,Arch Resources Inc - Class A,2022-04-20,2022-03-31,12.83,USD
ARCO,Arcos Dorados Holdings Inc - Class A,2022-05-10,2022-03-31,0.03,USD
ARCT,Arcturus Therapeutics Holdings Inc,2022-05-09,2022-03-31,-1.44,USD
ARD,Ardagh Group S.A. - Class A,2022-04-27,2022-03-31,,USD
ARDX,Ardelyx Inc,2022-05-04,2022-03-31,-0.22,USD
ARE,Alexandria Real Estate Equities Inc,2022-04-25,2022-03-31,0.75,USD
ARES,Ares Management Corp - Class A,2022-04-28,2022-03-31,0.69,USD
ARESF,ARESF,2022-05-05,2022-03-31,,USD
ARFXF,ARFXF,2022-05-12,2022-03-31,,CAD
ARGO,Argo Group International Holdings Ltd,2022-05-02,2022-03-31,1.1,USD
ARHH,ARHH,2022-05-12,2022-03-31,,USD
ARHHD,ARHHD,2022-05-12,2022-03-31,,USD
ARHTF,ARHTF,2022-05-11,2022-03-31,,CAD
ARI,Apollo Commercial Real Estate Finance Inc,2022-04-25,2022-03-31,0.33,USD
ARKO,ARKO Corp - Class A,2022-05-11,2022-03-31,0.02,USD
ARKR,Ark Restaurants Corp,2022-05-16,2022-03-31,,USD
ARLO,Arlo Technologies Inc,2022-05-10,2022-03-31,-0.03,USD
